title,price,Name:,Yacht Type:,"Series, Model, Class:",Builder:,Length Overall:,Length at Waterline:,Beam:,Max Draught:,Gross Tonnage:,Displacement Tonnage:,Year of Build:,Hull Type:,Number of Decks:,Classification:,Max Speed:,Cruising Speed:,Fuel Capacity:,Range:,V1,Engine Make:,Total power:,Hull:,Superstructure:,Deck:,Guests:,Passenger Rooms:,Master Rooms:,Double Rooms: ,Twin Rooms:,Yacht Subtype:,Interior Designer:,Refits:,Hull Number:,Water Capacity:,Naval Architect:,Exterior Designer:,VIP Rooms:,Build time:
COCA VI for sale,"€995,000",COCA VI,Motor Yacht,26 MY,Leopard Yachts ,26.8  metres,20.86  metres,6.05  metres,2.34  metres,92,63,2000,Deep V / Planing,2,BV,27  kn,20  kn,8500  litres,300  nm,@ 25  kn,MTU ,3600hp ,GRP,GRP,Teak,6,3,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
COCA VI for sale,VAT paid,COCA VI,Motor Yacht,26 MY,Leopard Yachts ,26.8  metres,20.86  metres,6.05  metres,2.34  metres,92,63,2000,Deep V / Planing,2,BV,27  kn,20  kn,8500  litres,300  nm,@ 25  kn,MTU ,3600hp ,GRP,GRP,Teak,6,3,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
MUSTANG for sale,"$1,495,000",MUSTANG,Sail Yacht,Nicholson 83,Camper & Nicholsons ,25.3  metres,21.88  metres,6.25  metres,2.68  metres,106,50,1987,Monohull,NA,NA,9.5  kn,8.5  kn,3600  litres,NA,NA,NA,NA,GRP,GRP,Teak,6,3,1,1,1,Classic Yacht ,Doug Peterson ,"2001-01-01,2005-01-01",1986,3200  litres,NA,NA,NA,NA
SEAS THE DAY for sale,"$6,275,000",SEAS THE DAY,Motor Yacht,101,Hargrave Custom Yachts ,30.78  metres,NA,6.4  metres,1.72  metres,158,NA,2016,Deep V / Planing,2,NA,23  kn,20  kn,12113  litres,1000  nm,@ 10  kn,Caterpillar ,3352hp ,GRP,GRP,"GRP,Teak",8,NA,NA,NA,NA,NA,NA,NA,675,NA,NA,NA,NA,NA
MRS L for sale,"$17,950,000",MRS L,Motor Yacht,NA,Mondomarine ,50.8  metres,NA,9.3  metres,2.6  metres,499,NA,2009,Semi Displacement,3,NA,16  kn,14  kn,85000  litres,4000  nm,@ 12  kn,MTU ,4960hp ,Steel,Aluminium,Teak,10,5,1,2,2,NA,NA,"2021-01-01, 2009-01-01 ",56,16000  litres,NA,NA,NA,NA
DINAIA for sale,"€7,450,000",DINAIA,Motor Yacht,SL 106,Sanlorenzo ,32.2  metres,27  metres,7.01  metres,2.13  metres,199,125,2018,Deep V / Planing,2,RINA,31  kn,24  kn,8300  litres,1406  nm,@ 11  kn,MTU ,4868hp ,Fiberglass,GRP,Teak,10,5,NA,2,NA,Planing Fast Yacht ,Francesco Paszkowski Design ,NA,654,2800  litres,Sanlorenzo ,Francesco Paszkowski Design ,NA,NA
OCEAN PURE 2 for sale,"€4,900,000",OCEAN PURE 2,Sail Yacht,Mirabella 40,Concorde ,40.01  metres,35.5  metres,9.1  metres,3.9  metres,225,198,1992,Monohull,NA,NA,13  kn,10  kn,15800  litres,2500  nm,@ 8  kn,Yanmar ,500hp ,GRP,GRP,Teak,11,5,1,2,2,NA,NA,"2009-01-01,2005-01-01,2002-01-01,2019-12-01",2,4400  litres,NA,Farr Yacht Design ,NA,NA
OCEAN PURE 2 for sale,VAT paid,OCEAN PURE 2,Sail Yacht,Mirabella 40,Concorde ,40.01  metres,35.5  metres,9.1  metres,3.9  metres,225,198,1992,Monohull,NA,NA,13  kn,10  kn,15800  litres,2500  nm,@ 8  kn,Yanmar ,500hp ,GRP,GRP,Teak,11,5,1,2,2,NA,NA,"2009-01-01,2005-01-01,2002-01-01,2019-12-01",2,4400  litres,NA,Farr Yacht Design ,NA,NA
LEONIDA 2 for sale,NA,LEONIDA 2,Motor Yacht,86,Falcon Yachts ,26.1  metres,NA,6.35  metres,1.95  metres,138,70,2009,Deep V / Planing,2,NA,30  kn,24  kn,8500  litres,400  nm,@ 22  kn,MTU ,3600hp ,GRP,GRP,Teak,10,4,1,NA,2,NA,NA,NA,NA,1600  litres,NA,NA,1,NA
WAY OF LIFE for sale,"€1,200,000",WAY OF LIFE,Sail Yacht,NA,McConaghy Boats ,26.6  metres,NA,4.75  metres,2.2  metres,NA,NA,2003,Monohull,NA,NA,NA,NA,NA,NA,NA,NA,NA,Composite,Composite,Composite,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SPIRIT OF MK for sale,"€1,990,000",SPIRIT OF MK,Motor Yacht,NA,CRN ,33.5  metres,27.25  metres,6.69  metres,2.68  metres,163,NA,1981,NA,NA,LR,15  kn,13  kn,36000  litres,NA,NA,MTU ,2000hp ,Steel,Aluminium,Teak,11,5,NA,NA,NA,Classic Yacht ,NA,2021-01-01,064,7500  litres,NA,NA,NA,NA
LULWA for sale,"€7,250,000",LULWA,Motor Yacht,Grande 27M,Azimut ,26.78  metres,NA,6.59  metres,1.45  metres,145,92.96,2020,Deep V / Planing,3,NA,28  kn,24  kn,9500  litres,360  nm,@ 24  kn,MAN ,3800hp ,GRP,"Carbon Fibre,GRP",Teak,10,5,1,2,2,NA,NA,NA,27038,2000  litres,NA,NA,NA,NA
LADY GOODGIRL for sale,"€8,950,000",LADY GOODGIRL,Motor Yacht,NA,Hall Russell ,42.89  metres,37.34  metres,8  metres,2.4  metres,316,330,1964,Full Displacement,3,NA,13.5  kn,12  kn,47000  litres,2200  nm,@ 12  kn,Caterpillar ,1260hp ,Steel,"Aluminium,Steel",Teak,10,5,1,1,2,Classic Yacht ,NA,"1999-01-01,2004-01-01",908,13000  litres,NA,NA,1,NA
CHILL OUT for sale,"€1,450,000",CHILL OUT,Motor Yacht,Mangusta 92,Overmarine ,28.3  metres,22.97  metres,6.6  metres,1.74  metres,130,75,2006,Deep V / Planing,2,BV,36  kn,32  kn,7100  litres,280  nm,@ 32  kn,MTU ,4800hp ,GRP,GRP,"GRP,Teak",8,4,1,2,1,Sports/Open Motor Yacht ,Overmarine ,NA,92/14,1500  litres,NA,Stefano Righini ,NA,NA
CHILL OUT for sale,VAT paid,CHILL OUT,Motor Yacht,Mangusta 92,Overmarine ,28.3  metres,22.97  metres,6.6  metres,1.74  metres,130,75,2006,Deep V / Planing,2,BV,36  kn,32  kn,7100  litres,280  nm,@ 32  kn,MTU ,4800hp ,GRP,GRP,"GRP,Teak",8,4,1,2,1,Sports/Open Motor Yacht ,Overmarine ,NA,92/14,1500  litres,NA,Stefano Righini ,NA,NA
TAMORY for sale,"€740,000",TAMORY,Sail Yacht,NA,Norderwerft Koser & Meyer ,26.24  metres,20  metres,5.73  metres,2.77  metres,NA,75,1952,Monohull,NA,NA,NA,NA,NA,NA,NA,NA,350hp ,Steel,Teak,Teak,NA,NA,NA,NA,NA,Classic Yacht ,NA,2000-01-01,NA,NA,NA,NA,NA,NA
AQUARIUS IV for sale,"€3,250,000",AQUARIUS IV,Motor Yacht,NA,CBI-Navi ,35.05  metres,32  metres,7.6  metres,2.2  metres,247,260,1993,Full Displacement,3,LR | RINA,16  kn,12.5  kn,55000  litres,5000  nm,@ 12.5  kn,Deutz-MWM ,2630hp ,Steel,Aluminium,Teak,8,4,1,NA,2,NA,NA,2008-01-01,19,12000  litres,NA,NA,1,NA
ATOM for sale,VAT paid,ATOM,Motor Yacht,Explorer 110,NA,33.83  metres,NA,7.15  metres,2.05  metres,273,207,2007,Full Displacement,3,ABS,13  kn,10  kn,43856  litres,3250  nm,@ 10  kn,Caterpillar ,1100hp ,Steel,Aluminium,Teak,10,4,1,2,2,NA,NA,NA,563,15200  litres,NA,NA,NA,NA
ANYA for sale,"€12,995,000",ANYA,Motor Yacht,131 Yacht,Sunseeker ,40.05  metres,NA,8.09  metres,2.25  metres,338,NA,2015,Semi Displacement,3,RINA,23  kn,19  kn,28710  litres,1500  nm,@ 12  kn,MTU ,6362hp ,NA,NA,NA,10,5,1,2,2,NA,NA,NA,53415131,4950  litres,NA,NA,NA,NA
ANOTHER ONE for sale,"$15,950,000",ANOTHER ONE,Motor Yacht,SX112,Sanlorenzo ,34.14  metres,NA,8  metres,1.85  metres,180,NA,2021,NA,3,RINA,22  kn,20  kn,18800  litres,1574  nm,@ 10  kn,MTU ,NA,GRP,GRP,NA,NA,NA,NA,NA,NA,NA,Lissoni Associati ,NA,103,NA,Sanlorenzo ,Zuccon International Project ,NA,NA
AREGENTOUS for sale,"£850,000",AREGENTOUS,Sail Yacht,NA,Jeanneau ,20.01  metres,NA,5.4  metres,NA,NA,NA,2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LUNOUS for sale,"£950,000",LUNOUS,Sail Yacht,Jeanneau 64 Sport Transom,Jeanneau ,20.01  metres,NA,5.4  metres,NA,NA,NA,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GWEILO for sale,"€5,800,000",GWEILO,Sail Yacht,NA,Mengi-Yay ,47.4  metres,27.4  metres,8.35  metres,4.7  metres,157,184,2009,Monohull,NA,RINA,16  kn,11  kn,10000  litres,NA,NA,Caterpillar ,558hp ,"Epoxy,Mahogany",Wood,Teak,6,3,1,1,1,NA,Hakan Ezel ,NA,NA,3500  litres,Dykstra Naval Architects ,Dykstra Naval Architects ,NA,NA
PRIMA MEA for sale,"$3,900,000",PRIMA MEA,Motor Yacht,107,Vicem ,32.5  metres,NA,7.3  metres,1.9  metres,177,NA,2012,Semi Displacement,2,NA,21  kn,15  kn,14500  litres,500  nm,@ 13  kn,Caterpillar ,3100hp ,Mahogany,Mahogany,Teak,10,5,1,1,2,NA,NA,2021-01-01,NA,1940  litres,NA,NA,1,NA
VICTORIA VIENNA for sale,"€6,900,000",VICTORIA VIENNA,Motor Yacht,Navetta 28,Ferretti ,28.31  metres,23.8  metres,7  metres,2.21  metres,112.9,106,2018,Semi Displacement,3,NA,14.5  kn,12.5  kn,12500  litres,1400  nm,@ 10  kn,MAN ,2400hp ,GRP,GRP,Teak,10,5,1,3,1,NA,NA,NA,N28-14,2000  litres,NA,NA,NA,NA
VICTORIA VIENNA for sale,VAT paid,VICTORIA VIENNA,Motor Yacht,Navetta 28,Ferretti ,28.31  metres,23.8  metres,7  metres,2.21  metres,112.9,106,2018,Semi Displacement,3,NA,14.5  kn,12.5  kn,12500  litres,1400  nm,@ 10  kn,MAN ,2400hp ,GRP,GRP,Teak,10,5,1,3,1,NA,NA,NA,N28-14,2000  litres,NA,NA,NA,NA
SONG OF SONGS for sale,"€20,000,000",SONG OF SONGS,Motor Yacht,139,Heysea Yachts ,42.2  metres,NA,8.5  metres,2.04  metres,499,276,2022,Semi Displacement,3,RINA,17  kn,14  kn,23000  litres,2000  nm,@ 12  kn,Caterpillar ,3800hp ,GRP,GRP,Teak,12,6,1,2,NA,NA,NA,NA,139/1,5000  litres,NA,NA,3,NA
FAFY for sale,"£3,495,000",FAFY,Motor Yacht,86 Yacht,Sunseeker ,26.3  metres,NA,6.47  metres,1.95  metres,84,67,2017,Deep V / Planing,2,NA,30  kn,24  kn,11000  litres,1000  nm,@ 10  kn,MTU ,5280hp ,GRP,GRP,Teak,8,4,1,NA,2,NA,NA,NA,8331786,1400  litres,NA,NA,1,NA
BRAVEHEART OF SARK for sale,"€1,750,000",BRAVEHEART OF SARK,Sail Yacht,NA,Custom ,22.86  metres,NA,5.54  metres,NA,45,NA,1997,GRP,NA,NA,15  kn,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,3,NA,NA,NA,Classic Yacht ,NA,2019-01-01,NA,NA,NA,NA,NA,NA
DUBAWI for sale,"$28,000,000",DUBAWI,Motor Yacht,NA,Cantieri Navali Ferrari ,90.6  metres,74.68  metres,15.3  metres,3.66  metres,4184,NA,1989,Full Displacement,5,DNV | RINA,17  kn,16  kn,335000  litres,4100  nm,@ 14  kn,"MAN, BW Alpha ","3425hp, 3425hp ",Steel,Steel,"Steel,Teak",44,22,2,12,NA,Classic Yacht ,NA,2009-01-01,NA,160000  litres,NA,NA,8,NA
SAVARONA for sale,"€1,790,000",SAVARONA,Sail Yacht,NA,CNB ,28.6  metres,25.6  metres,6.72  metres,4.7  metres,131,56,2002,Monohull,NA,BV,11  kn,10  kn,4000  litres,NA,NA,Caterpillar ,360hp ,Aluminium,Aluminium,Teak,6,3,1,1,1,NA,NA,"2010-01-01,2015-01-01",29,3000  litres,NA,NA,NA,NA
SAVARONA for sale,VAT paid,SAVARONA,Sail Yacht,NA,CNB ,28.6  metres,25.6  metres,6.72  metres,4.7  metres,131,56,2002,Monohull,NA,BV,11  kn,10  kn,4000  litres,NA,NA,Caterpillar ,360hp ,Aluminium,Aluminium,Teak,6,3,1,1,1,NA,NA,"2010-01-01,2015-01-01",29,3000  litres,NA,NA,NA,NA
WHITE for sale,"€32,500,000",NA,NA,NA,Heesen Yachts ,49.8  metres,NA,9  metres,2.51  metres,499,313,2018,Semi Displacement,3,ABS,23  kn,NA,68800  litres,3100  nm,@ 12  kn,MTU ,7724hp ,Aluminium,Aluminium,Teak,12,6,1,2,2,NA,NA,NA,182 50,16200  litres,NA,NA,1,NA
WHITE for sale,VAT paid,NA,NA,NA,Heesen Yachts ,49.8  metres,NA,9  metres,2.51  metres,499,313,2018,Semi Displacement,3,ABS,23  kn,NA,68800  litres,3100  nm,@ 12  kn,MTU ,7724hp ,Aluminium,Aluminium,Teak,12,6,1,2,2,NA,NA,NA,182 50,16200  litres,NA,NA,1,NA
VINTAGE I  for sale,"$2,495,000",VINTAGE I,Sail Yacht,NA,Nereids ,26.8  metres,18.5  metres,6  metres,3.05  metres,43,43,2008,Monohull,NA,BV,12  kn,10  kn,2000  litres,1500  nm,NA,MAN ,230hp ,Aluminium,Aluminium,Teak,6,3,NA,NA,NA,NA,Yacht Studio Strawinski ,2020-01-01,73,1500  litres,NA,NA,NA,NA
VIXEN for sale,"$3,490,000",VIXEN,Motor Yacht,82,Pershing ,24.99  metres,18.55  metres,5.49  metres,1.4  metres,87,NA,2015,Deep V / Planing,2,NA,45  kn,40  kn,5950  litres,356.74  nm,@ 40  kn,MTU ,4870hp ,Fiberglass,GRP,Teak,16,3,1,2,2,"Sports/Open Motor Yacht, Planing Fast Yacht ",Fulvio De Simoni ,NA,82007,1300  litres,Fulvio De Simoni ,Fulvio De Simoni ,NA,NA
LORAX for sale,"$3,500,000",LORAX,Motor Yacht,103,Johnson Yachts ,31.39  metres,25.42  metres,7.16  metres,2.16  metres,170,110,2008,Semi Displacement,2,NA,18  kn,16  kn,15000  litres,NA,NA,MTU ,4000hp ,Fiberglass,GRP,Teak,10,5,1,3,1,NA,Dixon Yacht Design ,NA,103010,1500  litres,Dixon Yacht Design ,Johnson Yachts ,NA,NA
K for sale,"$849,000",K,Motor Yacht,Motor Yacht,Broward Marine ,30.48  metres,NA,6.1  metres,1.83  metres,153,NA,1992,Semi Displacement,2,NA,16  kn,13  kn,34068.71  litres,1200  nm,@ 13  kn,Detroit Diesel ,2160hp ,Aluminum,Aluminium,"Aluminium,Teak",8,4,1,NA,2,Semi-displacement ,NA,"2004-01-01,2007-01-01",251,3785.41  litres,Broward Marine ,Broward Marine ,1,NA
SPREZZATURA for sale,"$4,299,000",SPREZZATURA,Motor Yacht,E88,Horizon ,26.82  metres,NA,6.4  metres,1.62  metres,152,71,2015,Deep V / Planing,2,NA,24  kn,18  kn,10220.61  litres,NA,NA,Caterpillar ,4290hp ,Fiberglass,GRP,Teak,8,4,1,2,2,NA,NA,NA,88917,1892.71  litres,John Lindblom ,John Lindblom ,1,NA
GIAOLA LU for sale,"€18,500,000",GIAOLA LU,Motor Yacht,NA,Bilgin ,46.8  metres,43.77  metres,9.2  metres,2.45  metres,498,458,2016,Full Displacement,3,RINA,16  kn,12  kn,67300  litres,5000  nm,@ 10  kn,Caterpillar ,2900hp ,Steel,Aluminium,Teak,12,6,1,2,2,NA,H2 Yacht Design ,NA,NA,12300  litres,NA,H2 Yacht Design ,1,NA
KING for sale,"€1,850,000",KING,Motor Yacht,Mangusta 108,Overmarine ,33.48  metres,28.57  metres,7.01  metres,1.22  metres,181,105,2004,Deep V / Planing,2,NA,37  kn,32  kn,14005  litres,400  nm,@ 32  kn,MTU ,5460hp ,GRP,GRP,"GRP,Teak",9,4,1,2,1,NA,NA,NA,108/12,2006  litres,NA,NA,NA,NA
SUNLINER X for sale,"€1,500,000",SUNLINER X,Motor Yacht,Amital Transat,Siar-Moschini ,36  metres,29.87  metres,7.2  metres,1.8  metres,209,128,1990,Deep V / Planing,2,ABS,26  kn,16  kn,41000  litres,3500  nm,@ 11  kn,MTU ,7000hp ,GRP,GRP,Teak,8,NA,NA,NA,NA,Planing Fast Yacht ,NA,2004-01-01,88/3,2000  litres,Navitec ,Andrea Bacigalupo ,NA,NA
IL SOLE for sale,"$8,900,000",IL SOLE,Motor Yacht,NA,Benetti ,44.6  metres,37.3  metres,8.81  metres,2.87  metres,421,295,1994,Full Displacement,3,BV,18  kn,16  kn,50310  litres,3000  nm,@ 12  kn,Deutz-MWM ,4400hp ,Steel,Aluminium,Teak,12,6,1,2,3,NA,Candy & Candy ,2005-01-01,FB 214,10900  litres,Benetti ,Stefano Natucci ,NA,NA
ASLAN for sale,"€8,375,000",ASLAN,Motor Yacht,Delfino 95,Benetti ,28.95  metres,NA,7.03  metres,2.05  metres,150,145,2019,Semi Displacement,2,RINA,13.5  kn,12.5  kn,20000  litres,1950  nm,@ 10  kn,MAN ,1970hp ,GRP,GRP,Teak,10,5,2,2,2,NA,NA,NA,BD107,2500  litres,NA,NA,NA,NA
INDIO for sale,"€7,500,000",INDIO,Sail Yacht,101,Wally ,30.5  metres,26.6  metres,6.8  metres,4.9  metres,77,60,2009,Monohull,NA,RINA,12  kn,11  kn,2500  litres,NA,NA,Cummins ,330hp ,Carbon Fibre,Carbon Fibre,"Carbon Fibre,Teak",10,5,1,1,3,NA,NA,NA,101.1 FR,1500  litres,NA,NA,NA,NA
INDIO for sale,VAT paid,INDIO,Sail Yacht,101,Wally ,30.5  metres,26.6  metres,6.8  metres,4.9  metres,77,60,2009,Monohull,NA,RINA,12  kn,11  kn,2500  litres,NA,NA,Cummins ,330hp ,Carbon Fibre,Carbon Fibre,"Carbon Fibre,Teak",10,5,1,1,3,NA,NA,NA,101.1 FR,1500  litres,NA,NA,NA,NA
FAR FAR AWAY for sale,"€13,500,000",FAR FAR AWAY,Motor Yacht,Explorer 120,Inace ,46.5  metres,NA,8.42  metres,2.4  metres,391,NA,2012,Full Displacement,3,ABS,12  kn,11  kn,64352  litres,4500  nm,@ 10  kn,Caterpillar ,1200hp ,Steel,Aluminium,"Aluminium,Teak",14,7,1,2,2,NA,Luiz De Basto ,2021-01-01,576,8700  litres,NA,Luiz De Basto ,NA,NA
BLUE VISION for sale,"€11,500,000",BLUE VISION,Motor Yacht,Vision,Benetti ,43.6  metres,38.5  metres,9.26  metres,2.8  metres,456,380,2007,Full Displacement,3,ABS,14  kn,12  kn,67600  litres,4000  nm,@ 12  kn,HP CAT ,2600hp ,GRP,GRP,Teak,12,5,1,2,2,NA,NA,2022-01-01,BV 08,11200  litres,Benetti ,NA,NA,NA
TRUE SENSE for sale,"€13,000,000",TRUE SENSE,Motor Yacht,Majesty 120,Gulf Craft ,37  metres,NA,8.1  metres,2  metres,290,NA,2021,Semi Displacement,3,RINA,NA,NA,NA,NA,NA,MTU ,5200hp ,GRP,"Carbon Fibre,GRP",Teak,10,5,1,2,2,NA,NA,NA,120/01,NA,NA,NA,NA,NA
SILENCIO for sale,"€13,500,000",SILENCIO,Sail Yacht,49M,Perini Navi ,49.8  metres,41.38  metres,10.27  metres,8.38  metres,422,493,2001,Monohull,NA,ABS,15  kn,13  kn,45700  litres,3100  nm,@ 13  kn,Deutz-MWM ,1960hp ,Steel,Aluminium,Teak,10,5,1,2,2,NA,NA,2012-01-01,2031,13000  litres,NA,NA,NA,NA
SILENCIO for sale,VAT paid,SILENCIO,Sail Yacht,49M,Perini Navi ,49.8  metres,41.38  metres,10.27  metres,8.38  metres,422,493,2001,Monohull,NA,ABS,15  kn,13  kn,45700  litres,3100  nm,@ 13  kn,Deutz-MWM ,1960hp ,Steel,Aluminium,Teak,10,5,1,2,2,NA,NA,2012-01-01,2031,13000  litres,NA,NA,NA,NA
DON CIRO for sale,"€3,200,000",DON CIRO,Motor Yacht,105,Benetti Sail Division ,31.5  metres,27.3  metres,7.2  metres,2.25  metres,130,190,2002,Full Displacement,2,RINA,14  kn,13.5  kn,40000  litres,2800  nm,@ 12  kn,Caterpillar ,2000hp ,Steel,Aluminium,Teak,8,4,1,NA,2,NA,NA,NA,NA,6000  litres,NA,NA,1,NA
CAPELLA for sale,"€975,000",CAPELLA,Motor Yacht,NA,Custom ,20.8  metres,NA,5  metres,2.5  metres,NA,NA,2001,NA,NA,NA,10  kn,8  kn,9000  litres,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3700  litres,NA,NA,NA,NA
HAPPY HOURS for sale,"$3,299,000",HAPPY HOURS,Motor Yacht,80 Flybridge,Azimut ,24.38  metres,NA,6.17  metres,1.98  metres,102,64,2016,Deep V / Planing,2,NA,30  kn,25  kn,5965.81  litres,400  nm,@ 14  kn,MAN ,3100hp ,Fiberglass,GRP,Teak,8,4,1,1,1,Planing Fast Yacht ,Salvagni Architetti ,NA,80028,1097.77  litres,Azimut ,Stefano Righini ,1,NA
ESSENCE OF CAYMAN for sale,"$1,450,000",ESSENCE OF CAYMAN,Motor Yacht,85 Classic,Vicem ,25.91  metres,25  metres,6.3  metres,1.78  metres,NA,63,2006,Semi Displacement,2,NA,21.72  kn,16.51  kn,7173.36  litres,440  nm,NA,MAN ,2400hp ,Composite,Mahogany,Teak,6,3,1,NA,2,Semi-displacement ,NA,NA,NA,1892.71  litres,Vicem ,Vicem ,NA,NA
SERENGETI for sale,"$7,950,000",SERENGETI,Motor Yacht,130,Westport ,39.62  metres,35.02  metres,8.23  metres,1.83  metres,309,193,2002,Semi Displacement,3,NA,28  kn,24  kn,37471  litres,3000  nm,@ 12  kn,MTU ,5470hp ,GRP,GRP,Teak,10,5,1,2,2,NA,NA,NA,1503,6132  litres,NA,NA,NA,NA
RED CARPET for sale,"€1,090,000",RED CARPET,Sail Yacht,NA,Vismara Marine ,21.82  metres,NA,4.79  metres,2.6  metres,NA,NA,2010,NA,NA,NA,NA,10  kn,NA,NA,NA,yanmar ,NA,NA,NA,NA,6,3,NA,NA,NA,NA,NA,2017-01-01,NA,NA,Mills Design ,NA,NA,NA
ILLUSION I for sale,"€9,750,000",ILLUSION I,Motor Yacht,NA,Feadship ,55.47  metres,46.18  metres,9.14  metres,2.9  metres,591,488,1983,Full Displacement,3,LR,16  kn,14  kn,71500  litres,3000  nm,@ 14  kn,Caterpillar ,2250hp ,Steel,Aluminium,Teak,12,6,1,3,2,NA,NA,NA,748,19000  litres,NA,NA,NA,NA
CLARITA for sale,"€1,400,000",CLARITA,Motor Yacht,27 Sport,Leopard Yachts ,26.88  metres,NA,6.07  metres,1.19  metres,79,58,2010,Deep V / Planing,2,RINA,45  kn,NA,10000  litres,350  nm,@ 32  kn,MTU ,4318hp ,GRP,GRP,Teak,7,3,1,NA,1,NA,NA,NA,27/44,NA,NA,NA,1,NA
CLARITA for sale,VAT paid,CLARITA,Motor Yacht,27 Sport,Leopard Yachts ,26.88  metres,NA,6.07  metres,1.19  metres,79,58,2010,Deep V / Planing,2,RINA,45  kn,NA,10000  litres,350  nm,@ 32  kn,MTU ,4318hp ,GRP,GRP,Teak,7,3,1,NA,1,NA,NA,NA,27/44,NA,NA,NA,1,NA
BLUE ANGEL for sale,"€15,800,000",BLUE ANGEL,Motor Yacht,SL 120A,Sanlorenzo ,36.88  metres,NA,7.6  metres,2.25  metres,280,NA,2021,Deep V / Planing,2,RINA,26  kn,24  kn,13700  litres,NA,NA,MTU ,NA,GRP,GRP,Teak,10,5,NA,NA,NA,NA,NA,NA,758,4500  litres,NA,NA,NA,NA
EVERYTHING GOOD for sale,"$2,249,000",EVERYTHING GOOD,Motor Yacht,94,Custom Line ,28.65  metres,24.02  metres,7.09  metres,1.75  metres,169,89,2003,Deep V / Planing,2,RINA,27  kn,23  kn,11802.92  litres,350  nm,@ 26  kn,MTU ,4000hp ,Fiberglass,GRP,Teak,8,4,1,NA,2,Semi-displacement ,Zuccon International Project ,2015-01-01,94/14,3001.83  litres,CRN ,Zuccon International Project ,1,NA
NINETEEN42 for sale,"€1,950,000",NINETEEN42,Motor Yacht,FLYINGSPORT,Cerri Cantieri Navali ,26.21  metres,23.99  metres,6.35  metres,1.28  metres,124,52,2007,Deep V / Planing,2,NA,40  kn,35  kn,7000  litres,420  nm,@ 35  kn,MTU ,3890hp ,Fiberglass,GRP,Teak,8,4,NA,4,NA,"Sports/Open Motor Yacht, Planing Fast Yacht ",Cerri Cantieri Navali ,NA,808,1500  litres,Cerri Cantieri Navali ,Cerri Cantieri Navali ,NA,NA
AAA for sale,"€25,900,000",AAA,Motor Yacht,Mangusta 165 E,Overmarine ,49.9  metres,NA,9.2  metres,1.9  metres,485,285,2021,Deep V / Planing,2,ABS,38  kn,30  kn,41000  litres,NA,@ 20 kn,MTU 16V2000 M96 1939kw ,NA,GRP,GRP,"GRP,Teak",12,6,1,3,1,NA,Oktavia Design,NA,165/14,4000  litres,NA,NA,1,NA
SHOOTIN' THE BREEZE for sale,"€700,000",SHOOTIN' THE BREEZE,Motor Yacht,NA,Normandie ,26  metres,22.25  metres,6.1  metres,2.71  metres,73,NA,1965,Semi Displacement,2,NA,20  kn,17  kn,10000  litres,800  nm,@ 12  kn,MAN D2842 LYE ,1973hp ,"Aluminium,Mahogany","Aluminium,Marine Ply",Teak,7,5,NA,NA,NA,Classic Yacht ,NA,1996-01-01,NA,5000  litres,NA,NA,NA,NA
SHOOTIN' THE BREEZE for sale,VAT paid,SHOOTIN' THE BREEZE,Motor Yacht,NA,Normandie ,26  metres,22.25  metres,6.1  metres,2.71  metres,73,NA,1965,Semi Displacement,2,NA,20  kn,17  kn,10000  litres,800  nm,@ 12  kn,MAN D2842 LYE ,1973hp ,"Aluminium,Mahogany","Aluminium,Marine Ply",Teak,7,5,NA,NA,NA,Classic Yacht ,NA,1996-01-01,NA,5000  litres,NA,NA,NA,NA
HANNA for sale,"$9,000,000",HANNA,Motor Yacht,Argo 90,Riva ,28.5  metres,NA,6.5  metres,NA,114,NA,2019,Deep V / Planing,2,NA,30  kn,25  kn,NA,300  nm,@ 22  kn,MTU ,4870hp ,GRP,GRP,Teak,8,4,NA,NA,NA,NA,NA,NA,90-02,NA,NA,NA,NA,NA
HANNA for sale,VAT paid,HANNA,Motor Yacht,Argo 90,Riva ,28.5  metres,NA,6.5  metres,NA,114,NA,2019,Deep V / Planing,2,NA,30  kn,25  kn,NA,300  nm,@ 22  kn,MTU ,4870hp ,GRP,GRP,Teak,8,4,NA,NA,NA,NA,NA,NA,90-02,NA,NA,NA,NA,NA
LET IT BE for sale,"€2,200,000",LET IT BE,Motor Yacht,T118,Tecnomarine ,35.97  metres,NA,7.32  metres,2.35  metres,247,262,1998,Semi Displacement,3,HR | RINA,24  kn,20  kn,26000  litres,750  nm,@ 21  kn,MTU ,4570hp ,GRP,Aluminium,Teak,10,5,NA,NA,NA,NA,NA,2016-01-01,NA,3000  litres,NA,NA,NA,NA
