title,price,Name:,Yacht Type:,"Series, Model, Class:",Builder:,Length Overall:,Length at Waterline:,Beam:,Max Draught:,Gross Tonnage:,Displacement Tonnage:,Year of Build:,Hull Type:,Number of Decks:,Classification:,Max Speed:,Cruising Speed:,Fuel Capacity:,Range:,V1,Engine Make:,Total power:,Hull:,Superstructure:,Deck:,Guests:,Passenger Rooms:,Master Rooms:,Double Rooms: ,Twin Rooms:,Yacht Subtype:,Interior Designer:,Refits:,Hull Number:,Water Capacity:,Naval Architect:,Exterior Designer:,VIP Rooms:,Build time:
AVANTI for sale,"$3,299,000",AVANTI,Motor Yacht,100 Motor Yacht,Hatteras ,30.48  metres,27.64  metres,6.86  metres,1.9  metres,183,138,2005,Semi Displacement,2,NA,24  kn,18  kn,19021.7  litres,745  nm,@ 18  kn,MTU ,4000hp ,Fiberglass,GRP,GRP,10,5,1,2,1,NA,NA,NA,GF619,3179.75  litres,NA,NA,1,NA
TEMPO REALE for sale,"$3,985,000",TEMPO REALE,Motor Yacht,Yacht Fisherman,Hakvoort ,34.14  metres,27.76  metres,8  metres,1.47  metres,221,NA,1990,Deep V / Planing,3,NA,30  kn,20  kn,25210.85  litres,800  nm,@ 22  kn,MTU ,7500hp ,Aluminum,Aluminium,"Aluminium,Teak",4,2,1,1,NA,NA,NA,2005-01-01,202,8327.91  litres,NA,NA,1,NA
HURACAN for sale,"$9,995,000",HURACAN,Motor Yacht,Expedition,Delta Marine ,38.1  metres,33.25  metres,8.84  metres,3.35  metres,289,365,1991,Full Displacement,3,NA,14  kn,12  kn,100290.72  litres,7000  nm,@ 10  kn,Caterpillar ,2140hp ,Fiberglass,GRP,GRP,12,8,NA,NA,NA,Expedition Yacht ,NA,1998-01-01,105-002,21576.85  litres,NA,NA,NA,NA
VIATORIS for sale,"€18,500,000",VIATORIS,Motor Yacht,C133,Conrad ,40.54  metres,35.5  metres,8.31  metres,2.67  metres,393,355,2018,Full Displacement,3,LR,13  kn,11  kn,183971.05  litres,4  nm,@ 10.5  kn,Caterpillar ,1340hp ,Steel,Aluminium,Teak,10,5,1,4,NA,NA,NA,NA,C133,39746.83  litres,NA,NA,NA,NA
DELFINO for sale,"$2,495,000",DELFINO,Motor Yacht,105 Yacht,Sunseeker ,32  metres,24.29  metres,6.3  metres,2.01  metres,161,80,2006,Deep V / Planing,2,NA,NA,NA,9020.64  litres,350  nm,@ 23  kn,MTU ,4000hp ,Fiberglass,GRP,Teak,8,4,NA,NA,NA,Planing Fast Yacht ,Ken Freivokh ,NA,NA,2498.37  litres,Don Shead ,Don Shead ,NA,NA
IMPETUOUS for sale,"$1,750,000",IMPETUOUS,Motor Yacht,85,Feadship ,25.91  metres,22.68  metres,6.27  metres,1.8  metres,119,NA,1977,Semi Displacement,NA,NA,21  kn,18  kn,15520.19  litres,1470  nm,@ 10  kn,MTU ,2448hp ,Aluminum,Aluminium,Teak,6,NA,NA,NA,NA,Sportfishing Yacht ,Pierre Tanter ,"1991-01-01,1997-01-01,2000-01-01",733,NA,H.W. De Voogt ,H.W. De Voogt ,NA,NA
ZARANIA for sale,"$11,950,000",ZARANIA,Motor Yacht,32XP,Numarine ,32  metres,30.72  metres,8  metres,2.59  metres,299,255,2021,NA,3,RINA,14  kn,12  kn,27444.24  litres,4  nm,@ 9  kn,Caterpillar ,1430hp ,Steel,GRP,Teak,12,6,1,2,2,NA,NA,NA,32XP/04,3000.02  litres,NA,NA,1,NA
CARAVELLE for sale,"€3,225,000",CARAVELLE,Motor Yacht,Riva Caravelle,Feadship ,23.77  metres,NA,5.16  metres,1.9  metres,NA,NA,1965,Full Displacement,2,RINA,13  kn,10  kn,5000  litres,300  nm,@ 12  kn,MAN ,880hp ,Steel,"Steel,Teak",Teak,8,3,1,NA,2,Classic Yacht ,NA,"2019-02-01,1991-01-01",C5,3000  litres,NA,NA,NA,NA
DE VROUWE CHRISTINA for sale,"€1,250,000",DE VROUWE CHRISTINA,Sail Yacht,NA,Feadship ,28.34  metres,21.34  metres,5.3  metres,1.13  metres,86,73,1957,Tjalk,NA,NA,10  kn,9  kn,2500  litres,NA,NA,Perkins ,290hp ,Steel,Teak,Teak,6,NA,NA,NA,NA,Classic Yacht ,NA,NA,NA,1000  litres,H.W. De Voogt ,H.W. De Voogt ,NA,NA
SEA WALK for sale,"€34,750,000",SEA WALK,Motor Yacht,NA,Oceanco ,62.3  metres,56.8  metres,10.5  metres,4.1  metres,1166,1000,2005,Full Displacement,4,LR,15  kn,12.5  kn,120000  litres,4500  nm,@ 12  kn,Caterpillar ,3300hp ,Steel,Aluminium,Teak,12,6,1,2,3,NA,Francois Zuretti ,NA,Y565,15000  litres,NA,"The A Group, Oceanco ",NA,NA
SEA WALK for sale,VAT paid,SEA WALK,Motor Yacht,NA,Oceanco ,62.3  metres,56.8  metres,10.5  metres,4.1  metres,1166,1000,2005,Full Displacement,4,LR,15  kn,12.5  kn,120000  litres,4500  nm,@ 12  kn,Caterpillar ,3300hp ,Steel,Aluminium,Teak,12,6,1,2,3,NA,Francois Zuretti ,NA,Y565,15000  litres,NA,"The A Group, Oceanco ",NA,NA
KENTUCKY BELLE for sale,"$2,499,000",KENTUCKY BELLE,Motor Yacht,94,Horizon ,28.65  metres,NA,6.53  metres,1.98  metres,138,NA,2005,Semi Displacement,2,NA,15  kn,10  kn,11356  litres,NA,NA,Caterpillar ,2800hp ,GRP,GRP,Teak,6,3,1,NA,1,Semi-displacement ,IK Yacht Design ,NA,94-314,1703  litres,NA,John Lindblom ,1,NA
ELYSIUM for sale,"€17,950,000",ELYSIUM,Motor Yacht,131 Yacht,Sunseeker ,40.05  metres,31.19  metres,8.09  metres,2.7  metres,345,230,2018,Semi Displacement,3,RINA,25  kn,10  kn,28700  litres,1500  nm,@ 10  kn,MTU ,6362hp ,GRP,GRP,Teak,12,6,1,3,1,Semi-displacement ,NA,NA,61218131,5600  litres,NA,NA,1,NA
BLUE RUNNER 49 for sale,"€38,000,000",BLUE RUNNER 49,Motor Yacht,NA,Rossinavi ,49  metres,NA,9  metres,2.15  metres,499,NA,NA,Semi Displacement,3,RINA,19  kn,16  kn,50000  litres,3800  nm,@ 12  kn,MTU ,NA,NA,NA,NA,10,5,1,2,2,Semi-displacement ,Marco Casali ,NA,NA,6500  litres,Arrabito Naval Architects ,Marco Casali ,NA,NA
SANSSOUCI STAR for sale,"€2,250,000",SANSSOUCI STAR,Motor Yacht,NA,Husumer ,53.5  metres,43.92  metres,8.02  metres,2.55  metres,446,378,1982,Full Displacement,3,GL,15  kn,12  kn,100000  litres,5000  nm,@ 12  kn,MTU ,2570hp ,Steel,Steel,"Steel,Teak",14,7,1,3,2,NA,NA,"1984-01-01,2007-01-01,1982-01-01,1992-01-01",1473,48000  litres,Gebr. Kroger & Co. Kg ,Gebr. Kroger & Co. Kg ,NA,NA
HERO for sale,"£4,600,000",HERO,Motor Yacht,86 Yacht,Sunseeker ,26  metres,NA,6.47  metres,1.95  metres,90,NA,2020,NA,2,CE (Category B),27  kn,NA,11000  litres,1500  nm,@ 12  kn,MTU ,3900hp ,GRP,GRP,Teak,8,4,1,NA,2,NA,Sunseeker ,NA,8772186,1500  litres,NA,Sunseeker ,1,NA
TICKETYBOO for sale,"£3,995,000",TICKETYBOO,Motor Yacht,NA,Sunseeker ,26  metres,NA,6.4  metres,NA,NA,NA,2017,NA,NA,NA,30  kn,24  kn,11000  litres,NA,NA,MTU ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sunseeker ,NA,NA,1400  litres,NA,Sunseeker ,NA,NA
TICKETYBOO for sale,VAT paid,TICKETYBOO,Motor Yacht,NA,Sunseeker ,26  metres,NA,6.4  metres,NA,NA,NA,2017,NA,NA,NA,30  kn,24  kn,11000  litres,NA,NA,MTU ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sunseeker ,NA,NA,1400  litres,NA,Sunseeker ,NA,NA
EL CARAN for sale,"€4,850,000",EL CARAN,Motor Yacht,NA,Benetti ,38.18  metres,32  metres,7.28  metres,3.26  metres,321,328,1977,Full Displacement,3,BV | RINA,15  kn,13  kn,56000  litres,3500  nm,@ 13  kn,MTU ,1390hp ,Steel,Aluminium,Teak,10,5,1,NA,3,Classic Yacht ,Benetti ,"1995-01-01,2004-01-01,2012-01-01",FB 121,27000  litres,NA,Benetti ,1,NA
